item_num,item_name,item_content,item_price,item_img,item_count
1,갤럭시_S21,"스마트폰 / 출시OS: 안드로이드11 / <br>화면정보 15.75cm(6.2인치) / D-AMOLED / 2400x1080 / 421ppi / 120Hz / 20:9 / <br>시스템 엑시노스2100 / 5nm / 램:8GB / 내장:256GB / MicroSD 미지원 / <br>네트워크 5G NR / LTE-A / Wi-Fi6 / 블루투스v5.0 / 나노유심 / <br>카메라 후면:6,400만화소+1,200만화소+1,200만화소 / 전면:1,000만화소 / 동영상:8K@24fps / 광학식손떨림보정(OIS)+전자식손떨림보정(EIS) / 사운드 스피커:스테레오(2개) / <br>보안/기능 지문인식(온스크린) / 빅스비 / 삼성페이 / IP68 / GPS / NFC / OTG / AOD / <br>배터리 USB타입C / 4,000mAh / 충전지원: 최대25W / Qi무선충전: 최대15W / <br>규격/모델명 가로:71.2mm / 세로:151.7mm / 두께:7.9mm / 무게:169g / SM-G991N / 출시가: 999,900원",800000,./img/mobile/galuxy_S21.jpg,98
2,"갤럭시A32 LTE","스마트폰 / 출시OS: 안드로이드11 /<br>화면정보 16.25cm(6.4인치) / S-AMOLED / 2400x1080 / 411ppi / 90Hz / 20:9 /<br>시스템 미디어텍 Helio G80 / 12nm / 램:4GB / 내장:64GB / microSD:최대1TB /<br>네트워크 LTE-A / Wi-Fi5 / 블루투스v5.0 / 나노유심 /<br>카메라 후면:6,400만화소+800만화소+500만화소+500만화소 / 전면:2,000만화소 / 동영상:1080p(FHD),30fps /<br>사운드 3.5mm / 스피커:모노(1개) /<br>보안/기능 지문인식(온스크린) / GPS / NFC / OTG /<br>배터리 USB타입C / 5,000mAh / 충전지원: 최대15W /<br>규격/모델명 가로:73.6mm / 세로:158.9mm / 두께:8.4mm / 무게:184g / SM-A325N / 출시가: 374,000원",309700,./img/mobile/galuxy_A32.jpg,99
3,"갤럭시Z 폴드2 5G","폴더블 스마트폰 / 출시OS: 안드로이드10 /<br>화면정보 19.30cm(7.6인치) / D-AMOLED / 2208x1768 / 373ppi / 120Hz / 5:4 /<br>시스템 스냅드래곤865+ / 7nm+ / 램:12GB / 내장:256GB / MicroSD 미지원 /<br>네트워크 5G NR / LTE-A Cat.20 / Wi-Fi6 / 블루투스v5.0 / 나노유심 /<br>카메라 후면:1,200만화소+1,200만화소+1,200만화소 / 전면:1,000만화소 / 동영상:4K@60fps / 광학식손떨림보정(OIS)+전자식손떨림보정(EIS) /<br>사운드 스피커:스테레오(2개) /<br>보안/기능 지문인식(측면) / 빅스비 / 삼성페이 / GPS / NFC /<br>배터리 USB타입C / 4,500mAh / 충전지원: 최대25W / Qi무선충전: 최대11W /<br>규격/모델명 가로:128.2mm / 세로:159.2mm / 두께:6.9mm / 무게:282g / ANT+ / SM-F916 / 출시가: 2,398,000원",1602000,./img/mobile/galuxy_z.jpg,100
4,"아이폰12 5G","스마트폰 / 출시OS: iOS14 /<br>화면정보 15.49cm(6.1인치) / OLED / 2532x1170 / 460ppi / 60Hz / 19.5:9 /<br>시스템 애플 A14 Bionic / 5nm / 램:4GB / 내장:128GB / MicroSD 미지원 /<br>네트워크 5G NR / LTE-A Cat.22 / Wi-Fi6 / 블루투스v5.0 / 나노유심 /<br>카메라 후면:1,200만화소+1,200만화소 / 전면:1,200만화소 / 동영상:4K@60fps / 광학식손떨림보정(OIS)+전자식손떨림보정(EIS) /<br>사운드 스피커:스테레오(2개) /<br>보안/기능 FaceID / Siri / 애플페이(국내미지원) / IP68 / GPS / NFC /<br>배터리 라이트닝8핀 / 2,815mAh / 충전지원: 최대18W / Qi무선충전: 최대7.5W /<br>규격/모델명 가로:71.5mm / 세로:146.7mm / 두께:7.4mm / 무게:162g / 출시가: 1,160,000원",1063640,./img/mobile/Apple_iphone_12_128.jpg,100
5,"갤럭시탭A 8.0","태블릿PC / 출시OS: 안드로이드 9.0 파이 /<br>화면정보 20.32cm(8인치) / TFT-LCD / 1280x800 / 189ppi / 16:10 / 60Hz /<br>프로세서 스냅드래곤429 / 쿼드코어 / 2.0GHz / Adreno504 /<br>메모리 램:2GB / 내장:32GB / microSD:최대512GB /<br>네트워크 Wi-Fi전용 / Wi-Fi4 / 블루투스v4.2 / Wi-Fi 듀얼밴드 /<br>카메라 후면:800만화소 / 전면:200만화소 / 동영상:1080p(FHD),30fps /<br>스피커/단자 스피커: 2개 / 마이크로5핀 / 3.5mm단자 /<br>액세서리 전용펜 미지원 / 전용키보드 미지원 /<br>배터리 5,100mAh /<br>규격 가로: 124.4mm / 세로: 210mm / 두께: 8mm / 345g / 출시가: 160,000원",127560,./img/mobile/galuxy_tab_A.jpg,100
6,"갤럭시탭S6 라이트","태블릿PC / 출시OS: 안드로이드 10 /<br>화면정보 26.42cm(10.4인치) / TFT-LCD / 2000x1200 / 224ppi / 5:3 / 60Hz /<br>프로세서 엑시노스9 9611 / 옥타코어 / 2.3GHz+1.7GHz / Mali G72 /<br>메모리 램:4GB / 내장:64GB / UFS2.1(내장) / microSD:최대1TB /<br>네트워크 Wi-Fi전용 / Wi-Fi5 / 블루투스v5.0 / Wi-Fi 듀얼밴드 / 핫스팟 /<br>카메라 후면:800만화소 / 전면:500만화소 / 동영상:1080p(FHD),30fps /<br>스피커/단자 스피커: 2개 / USB타입C / 3.5mm단자 /<br>액세서리 전용펜 포함 / 전용키보드 미지원 /<br>배터리 7,040mAh / 사용시간:최대12시간 /<br>규격 가로: 154.3mm / 세로: 244.5mm / 두께: 7.0mm / 465g / 출시가: 451,000원",387990,./img/mobile/galuxy_tab_s6.jpg,100
7,"갤럭시탭S7 플러스","태블릿PC / 2in1 / 출시OS: 안드로이드 10 /<br>화면정보 31.49cm(12.4인치) / SUPER AMOLED / 2800x1752 / 266ppi / 16:10 / 120Hz /<br>프로세서 스냅드래곤865+ / 옥타코어 / 3.09GHz+2.4GHz+1.8GHz / Adreno650 /<br>메모리 램:8GB / 내장:256GB / UFS3.0(내장) / microSD:최대1TB /<br>네트워크 Wi-Fi전용 / Wi-Fi6 / 블루투스v5.0 / Wi-Fi 듀얼밴드 / 핫스팟 /<br>카메라 후면:1,300만화소+500만화소 / 전면:800만화소 / 동영상:4k@30fps /<br>스피커/단자 스피커: 4개 / USB타입C /<br>액세서리 전용펜 포함 / 전용키보드 별매 /<br>배터리 10,090mAh / 사용시간:최대8시간 /<br>규격 가로: 285mm / 세로: 185mm / 두께: 5.7mm / 575g / 출시가: 1,149,500원",934450,./img/mobile/galuxy_Tap7.jpg,50
8,"아이패드 에어 4세대","태블릿PC / 2in1 / 출시OS: iPadOS 14 /<br>화면정보 27.68cm(10.9인치) / IPS-LCD / 2360x1640 / 264ppi / 1.43:1 / 60Hz /<br>프로세서 A14 Bionic / 헥사코어 / 2.99GHz+1.82GHz /<br>메모리 램:4GB / 내장:64GB / microSD미지원 /<br>네트워크 Wi-Fi전용 / Wi-Fi6 / 블루투스v5.0 / Wi-Fi 듀얼밴드 / 핫스팟 /<br>카메라 후면:1,200만화소 / 전면:700만화소 / 동영상:4K@24fps /<br>스피커/단자 스피커: 2개 / USB타입C /<br>액세서리 전용펜 별매 / 전용키보드 별매 /<br>배터리 7,812mAh / 사용시간:최대10시간 /<br>규격 가로: 178.5mm / 세로: 247.6mm / 두께: 6.1mm / 458g / 출시가: 779,000원",678180,./img/mobile/Apple_AirPad.jpg,79
