item_num,item_name,item_content,item_price,item_img,item_count
1,"LG전자 2021 울트라PC","43.1cm(17인치) / 인텔 / 코어i5-11세대 / 타이거레이크 / i5-1135G7 (2.4GHz) / 쿼드코어 / 운영체제(OS): 미포함(프리도스) / 2560x1600(WQXGA) / IPS / 광시야각 / 슬림형 베젤 / DDR4 / 8GB / 3200MHz / M.2(NVMe) / 256GB / 내장그래픽 / UHD Graphics / 기가비트 유선랜 / 802.11ax(Wi-Fi 6) / HDMI / 웹캠(HD) / 썬더볼트4: 1개 / USB 4.0 / USB 3.1 / MicroSD카드 / 키보드 라이트 / USB-PD / ㅗ형 방향키 / 숫자 키패드(4열) / 배터리: 80Wh / 충전단자: DC / 두께: 19.9mm / 무게: 1.85kg / 일반유통상품 / 용도: 사무/인강용 / 색상: 다크실버",1109990,./img/computer/lg_20201_ultra.jpg,99
2,"MSI GF시리즈 GF75 Thin","43.94cm(17.3인치) / 인텔 / 코어i5-10세대 / 코멧레이크 / i5-10300H (2.5GHz) / 쿼드코어 / 운영체제(OS): 미포함(프리도스) / 1920x1080(FHD) / 250nit / 144Hz / IPS타입 / 광시야각 / 눈부심방지 / 슬림형 베젤 / DDR4 / 16GB / 3200MHz / M.2(NVMe) / 512GB / 외장그래픽 / RTX3060 / MAX-Q / VRAM:6GB / 기가비트 유선랜 / 802.11ax(Wi-Fi 6) / HDMI / 웹캠(HD) / USB Type-C / USB 3.0 / RGB 라이트 / ㅗ형 방향키 / 숫자 키패드(4열) / 배터리: 51Wh / 충전단자: DC / 두께: 23.1mm / 무게: 2.3kg / 일반유통상품 / 용도: 게임용 , 그래픽작업용 / 색상: 블랙",1399000,./img/computer/MSI_GF_GF57.jpg,100
3,"한성컴퓨터 TFG7597XG","43.94cm(17.3인치) / AMD / 라이젠9-4세대 / 세잔 / 5900HX (3.3GHz) / 옥타코어 / 운영체제(OS): 미포함(프리도스) / 2560x1440(QHD) / NTSC: 72% / sRGB: 100% / 300nit / 165Hz / IPS / 광시야각 / 눈부심방지 / 슬림형 베젤 / DDR4 / 16GB / 3200MHz / M.2(NVMe) / 500GB / 외장그래픽 / RTX3070 (140W) / VRAM:8GB / 기가비트 유선랜 / 802.11ax(Wi-Fi 6) / HDMI 2.1 / 웹캠(HD) / USB 3.1 Type-C / USB 3.1 / USB 3.0 / MicroSD카드 / RGB 라이트 / 얼굴 인식 / ㅗ형 방향키 / 숫자 키패드(3열) / 배터리: 91.24Wh / 충전단자: DC / 두께: 25mm / 무게: 2.2kg / 일반유통상품 / 용도: 게임용 , 그래픽작업용 / 색상: 블랙",2399000,./img/computer/Hansung_TFG7597XG.jpg,100
4,"HP 오멘 30L GT13-0848KR","인텔 / 코어i9-10세대 / 코멧레이크S / i9-10850K (3.6GHz) / (인텔) Z490 / DDR4 / 64GB / HDD:2TB / M.2 / 1TB / 지포스 RTX 3090 / 24GB / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / USB 3.0 / USB Type-C / 750W / 윈도우10 / 미들타워 / 12.86kg / 용도: 게임용 , 그래픽작업",4999000,./img/computer/HP_30L_GT13.jpg,99
5,"한성컴퓨터 보스몬스터 DX5516SRX","AMD / 라이젠5-3세대 / 마티스 / 3500X (3.6GHz) / (AMD) B450 / DDR4 / 16GB / M.2 / 256GB / 지포스 GTX 1660 SUPER / 6GB / 1Gbps 유선 / HDMI / DP포트 / DVI / USB 3.0 / 600W / 운영체제 미포함 / 미들타워 / 용도: 게임용",1249000,./img/computer/bossmonster.jpg,100
6,"ASUS ROG STRIX G15DK-V5R7005","AMD / 라이젠5-4세대 / 버미어 / 5600X (3.7GHz) / (AMD) B550 / DDR4 / 8GB / M.2 / 512GB / 지포스 RTX 3070 / 8GB / 7.1채널 / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / DP포트 / USB 3.1 / USB 3.0 / USB Type-C / 700W / 운영체제 미포함 / 미들타워 / 11kg / 용도: 게임용 / AURA Sync",1997000,./img/computer/asus_rog_strix.jpg,100
7,"HP 파빌리온 게이밍 TG01-1006kl","AMD / 라이젠5-3세대 / 르누아르 / 4600G (3.7GHz) / DDR4 / 16GB / M.2 / 512GB / 지포스 RTX 3060 Ti / 8GB / 5.1채널 / 1Gbps 유선 / 802.11ac(Wi-Fi 5) 무선 / 블루투스 / HDMI / DP포트 / USB 3.0 / USB Type-C / 500W / 운영체제 미포함 / 미들타워 / 5.96kg / 용도: 게임용",1849000,./img/computer/TG01-1006kl.jpg,99
8,"프리플로우 ULTRA GAMING R5 B7","AMD / 라이젠5-4세대 / 버미어 / 5600X (3.7GHz) / (AMD) B550 / DDR4 / 16GB / M.2 / 512GB / 지포스 RTX 3070 / 8GB / 1Gbps 유선 / HDMI / DP포트 / USB 3.0 / 700W / 운영체제 미포함 / 미들타워 / 용도: 게임용",2558990,./img/computer/ULTRA_gamming.jpg,80
